seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
281643,Baseline,4,200,TRUE,2,"3,4",0.559915735841662,0.501133786848073,2,149,11,85,0,3163,1275.75,1555.42242386648,0.00845925925925926
281644,Baseline,4,148,FALSE,1,2,0.75,1,3,88,13,60,0,1712,428,856,0.0130687830687831
281645,Baseline,4,200,TRUE,2,"3,4",0.511831048208757,0.5,2,161,16,99,0,1184,565.25,654.154607107525,0.0104014336917563
281646,Baseline,4,174,FALSE,1,3,0.75,1,3,108,8,84,0,1776,444,888,0.00801990049751244
281647,Baseline,4,200,TRUE,2,"3,4",0.504523026315789,0.52,2,64,8,125,0,1238,608,702.287690337799,0.015
281648,Baseline,4,200,TRUE,3,"2,3,4",0.317580567580568,0.367768595041322,1,188,12,57,0,2574,1559.25,1099.91192829244,0.0130208333333333
281649,Baseline,4,194,FALSE,1,4,0.713164017060876,1,4,146,6,97,0,2389,644.75,1166.27766133684,0.012426116838488
281650,Baseline,4,200,TRUE,3,"2,3,4",0.2880058126537,0.352537722908093,1,96,9,74,0,1675,1118.25,758.570310957835,0.00825203252032521
281651,Baseline,4,177,FALSE,1,2,0.75,1,3,143,9,92,0,3859,964.75,1929.5,0.00654285714285714
281652,Baseline,4,131,FALSE,1,2,0.725049900199601,1,3,63,10,85,0,3808,1002,1873.04102108487,0.0116589147286822
281653,Baseline,4,98,FALSE,1,2,0.75,1,3,66,10,41,0,2480,620,1240,0.00673873873873874
281654,Baseline,4,181,FALSE,1,4,0.728814466081746,1,3,94,4,103,0,4475,1168.25,2206.47507350525,0.0121538461538462
281655,Baseline,4,200,TRUE,3,"1,3,4",0.346389358108108,0.344387755102041,1,125,10,117,0,1959,1184,879.532830541305,0.00930584192439863
281656,Baseline,4,183,FALSE,1,4,0.75,1,3,80,4,79,0,1751,437.75,875.5,0.0132146118721461
281657,Baseline,4,200,TRUE,4,"1,2,3,4",0.166720516962843,0.303571428571429,0,,10,114,1026,2111,1547.5,569.046278141477,0.0091740412979351
281658,Baseline,4,200,TRUE,3,"1,2,4",0.38483547925608,0.342155009451796,1,190,8,58,0,3627,2097,1728.34545158079,0.00935849056603774
281659,Baseline,4,200,TRUE,3,"2,3,4",0.306409701169337,0.352537722908093,1,92,14,80,0,1761,1154.5,800.401774110977,0.0094822695035461
281660,Baseline,4,200,TRUE,3,"2,3,4",0.342540661805945,0.340236686390533,1,160,10,115,0,2433,1337.25,1003.08137755618,0.00967320261437908
281661,Baseline,4,200,TRUE,3,"1,2,3",0.285245554614733,0.358024691358025,1,95,9,112,200,1878,1181,719.227826677102,0.0092398753894081
281662,Baseline,4,200,TRUE,3,"1,3,4",0.364965986394558,0.3728,1,157,8,89,0,1910,1102.5,848.863357673071,0.0112825396825397
281663,Baseline,4,124,FALSE,1,4,0.75,1,3,78,8,77,0,2429,607.25,1214.5,0.00992307692307692
281664,Baseline,4,96,FALSE,1,2,0.75,1,4,70,6,59,0,4284,1071,2142,0.0128148148148148
