seed,scenario,n_players,game_length,terminated_by_cap,n_winners,winner_ids,gini_final,hhi_final,n_bankruptcies,first_bankruptcy_turn,social_mobility,capital_formation,wealth_min,wealth_max,wealth_mean,wealth_sd,rent_burden_mean
248955,Baseline,4,200,TRUE,3,"1,3,4",0.352054912795718,0.347222222222222,1,161,6,84,0,2581,1447.75,1082.36819828867,0.0146456140350877
248956,Baseline,4,200,TRUE,2,"2,4",0.594814140889004,0.625,3,130,9,116,0,2653,961.75,1260.18421272447,0.00893851132686084
248957,Baseline,4,97,FALSE,1,4,0.75,1,3,70,5,44,0,5268,1317,2634,0.00771666666666667
248958,Baseline,4,200,TRUE,4,"1,2,3,4",0.258597603946441,0.283163265306122,0,,12,100,758,3116,1773.75,986.880058568416,0.00926666666666667
248959,Baseline,4,187,FALSE,1,3,0.75,1,3,105,15,105,0,6576,1644,3288,0.0112
248960,Baseline,4,197,FALSE,1,3,0.75,1,3,87,8,125,0,4321,1080.25,2160.5,0.010168776371308
248961,Baseline,4,137,FALSE,1,3,0.75,1,3,108,14,60,0,3005,751.25,1502.5,0.00976666666666667
248962,Baseline,4,200,TRUE,2,"1,4",0.505007704160247,0.505,3,97,8,118,0,1655,811.25,937.126592302235,0.0110087719298246
248963,Baseline,4,200,TRUE,2,"2,3",0.500387396694215,0.5008,2,96,6,140,0,1939,968,1117.75280511092,0.00778600823045268
248964,Baseline,4,200,TRUE,3,"1,3,4",0.34692513368984,0.377551020408163,1,149,2,117,0,2415,1309,992.898450665189,0.00881786941580756
248965,Baseline,4,113,FALSE,1,3,0.75,1,3,69,13,60,0,3199,799.75,1599.5,0.0115833333333333
248966,Baseline,4,156,FALSE,1,3,0.75,1,3,116,10,48,0,1008,252,504,0.0082716049382716
248967,Baseline,4,137,FALSE,1,2,0.75,1,3,110,16,48,0,4987,1246.75,2493.5,0.0116393442622951
248968,Baseline,4,102,FALSE,1,4,0.75,1,3,78,7,62,0,4078,1019.5,2039,0.00744186046511628
248969,Baseline,4,200,TRUE,2,"1,2",0.504161882893226,0.500945179584121,3,107,10,82,0,1771,871,1006.02286256327,0.0132156862745098
248970,Baseline,4,179,FALSE,1,2,0.75,1,3,103,14,102,0,4203,1050.75,2101.5,0.00991228070175439
248971,Baseline,4,183,FALSE,1,2,0.75,1,3,116,10,129,0,3653,913.25,1826.5,0.00810810810810811
248972,Baseline,4,200,TRUE,3,"1,3,4",0.290328035170781,0.366255144032922,1,105,20,99,0,2264,1478.5,1007.63501990221,0.00975925925925926
248973,Baseline,4,189,FALSE,1,4,0.75,1,3,137,14,101,0,3940,985,1970,0.0146666666666667
248974,Baseline,4,200,TRUE,3,"1,3,4",0.459035222052068,0.420918367346939,1,129,4,145,0,2555,1142.75,1095.69380607297,0.0102904290429043
248975,Baseline,4,200,TRUE,3,"1,3,4",0.324482150727193,0.358024691358025,1,117,4,128,0,1773,1134.5,812.568150987965,0.00850825082508251
248976,Baseline,4,200,TRUE,3,"2,3,4",0.338700772911299,0.395408163265306,1,88,18,81,0,2147,1358.5,1008.93095237814,0.00904444444444445
248977,Baseline,4,130,FALSE,1,4,0.75,1,3,96,10,57,0,1718,429.5,859,0.00802614379084967
248978,Baseline,4,193,FALSE,1,2,0.721647292316416,1,4,63,8,122,0,3327,881.75,1632.89076487069,0.00785833333333333
248979,Baseline,4,180,FALSE,1,2,0.720682302771855,0.916824196597354,4,82,2,95,0,3532,938,1732.44028276109,0.0127671232876712
248980,Baseline,4,200,TRUE,3,"1,3,4",0.39047619047619,0.336805555555556,1,185,12,82,0,2572,1312.5,1068.88243818797,0.00841025641025641
248981,Baseline,4,156,FALSE,1,2,0.75,1,3,79,12,78,0,3693,923.25,1846.5,0.00985388127853881
248982,Baseline,4,200,TRUE,3,"1,2,3",0.341439688715953,0.351473922902494,1,195,10,104,0,1449,835.25,611.607376781325,0.00975375375375375
248983,Baseline,4,200,TRUE,2,"1,3",0.589325564096206,0.5648,2,101,18,119,0,2757,1008.25,1305.46450864561,0.00908235294117647
248984,Baseline,4,200,TRUE,2,"1,3",0.51401179941003,0.516528925619835,2,73,12,75,0,1790,847.5,981.677985220544,0.0111666666666667
248985,Baseline,4,200,TRUE,3,"1,3,4",0.32162346521146,0.340236686390533,1,141,4,99,0,1715,1099.5,782.400792433137,0.00849462365591398
248986,Baseline,4,200,TRUE,3,"2,3,4",0.364514285714286,0.375739644970414,1,60,2,137,0,1924,1093.75,837.564873109341,0.00751815181518152
248987,Baseline,4,79,FALSE,1,4,0.75,1,3,54,10,22,0,2262,565.5,1131,0.00946666666666667
248988,Baseline,4,110,FALSE,1,4,0.75,1,3,97,8,49,0,4300,1075,2150,0.0265438596491228
248989,Baseline,4,135,FALSE,1,1,0.693438914027149,1,3,82,6,86,0,1568,442,756.56416339484,0.0171805555555556
248990,Baseline,4,126,FALSE,1,1,0.75,1,3,87,10,46,0,1226,306.5,613,0.0165116279069767
248991,Baseline,4,191,FALSE,1,4,0.75,1,3,132,10,77,0,3267,816.75,1633.5,0.0125205479452055
248992,Baseline,4,186,FALSE,1,2,0.75,1,3,74,12,110,0,3553,888.25,1776.5,0.00943859649122807
248993,Baseline,4,127,FALSE,1,2,0.75,1,3,103,18,38,0,3205,801.25,1602.5,0.012843537414966
248994,Baseline,4,158,FALSE,1,3,0.75,1,3,109,11,78,0,4032,1008,2016,0.00737254901960784
248995,Baseline,4,163,FALSE,1,3,0.75,1,3,81,6,72,0,1676,419,838,0.010989898989899
248996,Baseline,4,143,FALSE,1,4,0.75,1,3,82,10,43,0,4146,1036.5,2073,0.0107322404371585
248997,Baseline,4,122,FALSE,1,4,0.75,1,4,85,12,70,0,3386,846.5,1693,0.010562962962963
248998,Baseline,4,200,TRUE,2,"1,3",0.646823556689079,0.7312,2,141,14,105,0,3423,1078.25,1618.49073213287,0.00985840707964602
248999,Baseline,4,200,TRUE,2,"2,3",0.509080962800875,0.52,2,107,12,98,0,1184,571.25,660.492429933909,0.00912941176470588
249000,Baseline,4,180,FALSE,1,1,0.610421545667447,0.847222222222222,3,145,8,89,0,1737,533.75,807.633735055687,0.00835341365461848
249001,Baseline,4,184,FALSE,1,3,0.75,1,3,95,17,121,0,1397,349.25,698.5,0.012289156626506
249002,Baseline,4,120,FALSE,1,4,0.75,1,3,80,8,25,0,2479,619.75,1239.5,0.00769333333333333
249003,Baseline,4,200,TRUE,2,"2,4",0.626693766937669,0.582990397805213,2,120,18,151,0,3336,1107,1572.63727540714,0.00833716475095785
249004,Baseline,4,200,TRUE,2,"1,4",0.545248558088437,0.508506616257089,2,61,4,196,0,2150,910.25,1084.95172703674,0.00810833333333333
249005,Baseline,4,155,FALSE,1,1,0.75,1,3,65,13,43,0,3162,790.5,1581,0.00894666666666667
249006,Baseline,4,200,TRUE,4,"1,2,3,4",0.214896551724138,0.283163265306122,0,,10,106,1219,3185,1812.5,930.089063835645,0.00803030303030303
